#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Strong Against,Weak Against,Other,evol_level,evol_cond
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",#N/A,#N/A
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE,"Bug, Fire, Flying, Ice, Bug, Fighting, Grass","Fight, Grass, Ground, Steel, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,FALSE,"Bug, Fire, Flying, Ice, Bug, Fighting, Grass","Fight, Grass, Ground, Steel, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE,"Dragon, Flying, Grass, Ground, Bug, Fighting, Grass","Fighting, Fire, Rock, Steel, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE,"Flying, Water, Bug, Fighting, Grass","Ground, Electric, Ice, Rock","Not Effective Against Ground, Immune to Ground",#N/A,#N/A
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE,"Bug, Grass, Ice, Steel, Bug, Fighting, Grass","Ground, Rock, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE,Dragon,"Dragon, Fairy, Ice",Not Effective Against Fairy,30,None
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,FALSE,Dragon,"Dragon, Fairy, Ice",Not Effective Against Fairy,55,None
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE,"Dragon, Bug, Fighting, Grass","Dragon, Fairy, Ice, Electric, Ice, Rock","Not Effective Against Fairy, Immune to Ground",#N/A,#N/A
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE,"Fight, Poison, Dark, Ice, Normal, Rock, Steel","Bug, Dark, Ghost, Fairy, Flying, Psychic","Not Effective Against Dark, Not Effective Against Ghost",#N/A,#N/A
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,TRUE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
151,Mew,Psychic,,600,100,100,100,100,100,100,1,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,16,None
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,32,None
154,Meganium,Grass,,525,80,82,100,83,100,80,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,14,None
156,Quilava,Fire,,405,58,64,58,80,65,80,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,36,None
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
158,Totodile,Water,,314,50,65,64,44,48,43,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,18,None
159,Croconaw,Water,,405,65,80,80,59,63,58,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,30,None
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
161,Sentret,Normal,,215,35,46,34,35,45,20,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,15,None
162,Furret,Normal,,415,85,76,64,45,55,90,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",20,None
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",18,None
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",22,None
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE,"Fairy, Grass, Bug, Fighting, Grass","Ground, Psychic, Electric, Ice, Rock","Not Effective Against Steel, Immune to Ground",#N/A,#N/A
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE,"Fire, Ground, Rock, Flying, Water","Electric, Grass, Ground","nan, Not Effective Against Ground",27,None
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE,"Fire, Ground, Rock, Flying, Water","Electric, Grass, Ground","nan, Not Effective Against Ground",#N/A,#N/A
172,Pichu,Electric,,205,20,40,15,35,35,60,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,FALSE,"None, Dark, Dragon, Fighting","Fighting, Poison, Steel","Immune to Ghost; Not Effective Against Ghost, Immune to Dragon",#N/A,#N/A
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE,"Dark, Dragon, Fighting, Bug, Fighting, Grass","Poison, Steel, Electric, Ice, Rock","Immune to Dragon, Immune to Ground",#N/A,#N/A
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE,"Fight, Poison, Bug, Fighting, Grass","Bug, Dark, Ghost, Electric, Ice, Rock","Not Effective Against Dark, Immune to Ground",25,None
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE,"Fight, Poison, Bug, Fighting, Grass","Bug, Dark, Ghost, Electric, Ice, Rock","Not Effective Against Dark, Immune to Ground",#N/A,#N/A
179,Mareep,Electric,,280,55,40,40,65,45,35,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,15,None
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,30,None
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,FALSE,"Flying, Water, Dragon","Ground, Dragon, Fairy, Ice","Not Effective Against Ground, Not Effective Against Fairy",#N/A,#N/A
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE,"Fire, Ground, Rock, Dark, Dragon, Fighting","Electric, Grass, Poison, Steel","nan, Immune to Dragon",18,None
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE,"Fire, Ground, Rock, Dark, Dragon, Fighting","Electric, Grass, Poison, Steel","nan, Immune to Dragon",#N/A,#N/A
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,FALSE,"Bug, Fire, Flying, Ice","Fight, Grass, Ground, Steel, Water",nan,#N/A,#N/A
186,Politoed,Water,,500,90,75,75,90,100,70,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,FALSE,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",18,None
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",27,None
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,FALSE,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
190,Aipom,Normal,,360,55,70,55,40,55,85,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
191,Sunkern,Grass,,180,30,30,30,30,30,30,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",20,None
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,FALSE,"Ghost, Psychic","Bug, Fairy, Fight",Immunce to Psychic,#N/A,#N/A
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,FALSE,"Ghost, Psychic, Bug, Fighting, Grass","Bug, Fairy, Fight, Electric, Ice, Rock","Immunce to Psychic, Immune to Ground",#N/A,#N/A
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,FALSE,"Ghost, Psychic","Dark, Ghost","Immune to fight, Normal; Not Effective Against Normal",#N/A,#N/A
201,Unown,Psychic,,336,48,72,48,72,48,48,2,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE,"None, Fight, Poison","Fighting, Bug, Dark, Ghost","Immune to Ghost; Not Effective Against Ghost, Not Effective Against Dark",#N/A,#N/A
204,Pineco,Bug,,290,50,65,90,35,35,15,2,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,31,None
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,FALSE,"Dark, Grass, Psychic, Fairy, Ice, Rock","Fire, Flying, Rock, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,FALSE,"Electric, Fire, Poison, Rock, Steel, Bug, Fighting, Grass","Grass, Ice, Water, Electric, Ice, Rock","Immune to Electric; Not Effective Against Flying, Immune to Ground",#N/A,#N/A
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,FALSE,"Fairy, Ice, Rock, Electric, Fire, Poison, Rock, Steel","Fight, Fire, Ground, Grass, Ice, Water","Immune to Poison, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,FALSE,"Fairy, Ice, Rock, Electric, Fire, Poison, Rock, Steel","Fight, Fire, Ground, Grass, Ice, Water","Immune to Poison, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,23,None
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE,"Fire, Ground, Rock, Fairy, Grass","Electric, Grass, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE,"Dark, Grass, Psychic, Fairy, Ice, Rock","Fire, Flying, Rock, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A
212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,FALSE,"Dark, Grass, Psychic, Fairy, Ice, Rock","Fire, Flying, Rock, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,FALSE,"Dark, Grass, Psychic, Bug, Fire, Flying, Ice","Fire, Flying, Rock, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,FALSE,"Dark, Grass, Psychic, Dark, Ice, Normal, Rock, Steel","Fire, Flying, Rock, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,FALSE,"Dark, Grass, Psychic, Dark, Ice, Normal, Rock, Steel","Fire, Flying, Rock, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,FALSE,"Ghost, Psychic, Dragon, Flying, Grass, Ground","Bug, Fairy, Fight, Fighting, Fire, Rock, Steel","Immunce to Psychic, nan",#N/A,#N/A
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,30,None
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
218,Slugma,Fire,,250,40,40,40,70,40,20,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,38,None
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE,"Bug, Grass, Ice, Steel, Bug, Fire, Flying, Ice","Ground, Rock, Water, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,FALSE,"Dragon, Flying, Grass, Ground, Electric, Fire, Poison, Rock, Steel","Fighting, Fire, Rock, Steel, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",33,None
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE,"Dragon, Flying, Grass, Ground, Electric, Fire, Poison, Rock, Steel","Fighting, Fire, Rock, Steel, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE,"Fire, Ground, Rock, Bug, Fire, Flying, Ice","Electric, Grass, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A
223,Remoraid,Water,,300,35,65,35,65,35,65,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,25,None
224,Octillery,Water,,480,75,105,75,105,75,45,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,FALSE,"Dragon, Flying, Grass, Ground, Bug, Fighting, Grass","Fighting, Fire, Rock, Steel, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE,"Fire, Ground, Rock, Bug, Fighting, Grass","Electric, Grass, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,FALSE,"Fairy, Ice, Rock, Bug, Fighting, Grass","Fight, Fire, Ground, Electric, Ice, Rock","Immune to Poison, Immune to Ground",#N/A,#N/A
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,FALSE,"Ghost, Psychic, Bug, Grass, Ice, Steel","Bug, Fairy, Fight, Ground, Rock, Water","Immunce to Psychic, nan",24,None
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,FALSE,"Ghost, Psychic, Bug, Grass, Ice, Steel","Bug, Fairy, Fight, Ground, Rock, Water","Immunce to Psychic, nan",#N/A,#N/A
229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,FALSE,"Ghost, Psychic, Bug, Grass, Ice, Steel","Bug, Fairy, Fight, Ground, Rock, Water","Immunce to Psychic, nan",#N/A,#N/A
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,FALSE,"Fire, Ground, Rock, Dragon","Electric, Grass, Dragon, Fairy, Ice","nan, Not Effective Against Fairy",#N/A,#N/A
231,Phanpy,Ground,,330,90,60,60,40,40,40,2,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,25,None
232,Donphan,Ground,,500,90,120,120,60,60,50,2,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
234,Stantler,Normal,,465,73,95,62,85,65,85,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,20,Attack > Defense
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,FALSE,"Dragon, Flying, Grass, Ground, Fight, Poison","Fighting, Fire, Rock, Steel, Bug, Dark, Ghost","nan, Not Effective Against Dark",30,None
239,Elekid,Electric,,360,45,63,37,65,55,95,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,30,None
240,Magby,Fire,,365,45,75,37,70,55,83,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,30,None
241,Miltank,Normal,,490,95,80,105,40,70,100,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
242,Blissey,Normal,,540,255,10,10,75,135,55,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
243,Raikou,Electric,,580,90,85,75,115,100,115,2,TRUE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
244,Entei,Fire,,580,115,115,85,90,75,100,2,TRUE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
245,Suicune,Water,,580,100,75,115,90,115,85,2,TRUE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,FALSE,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",30,None
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,FALSE,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",55,None
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,FALSE,"Bug, Fire, Flying, Ice, Ghost, Psychic","Fight, Grass, Ground, Steel, Water, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A
248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,FALSE,"Bug, Fire, Flying, Ice, Ghost, Psychic","Fight, Grass, Ground, Steel, Water, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,TRUE,"Fight, Poison, Bug, Fighting, Grass","Bug, Dark, Ghost, Electric, Ice, Rock","Not Effective Against Dark, Immune to Ground",#N/A,#N/A
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE,"Bug, Grass, Ice, Steel, Bug, Fighting, Grass","Ground, Rock, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,FALSE,"Fight, Poison, Ground, Rock, Water","Bug, Dark, Ghost, Bug, Fire, Flying, Ice, Poison","Not Effective Against Dark, nan",#N/A,#N/A
252,Treecko,Grass,,310,40,45,35,65,55,70,3,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,16,None
253,Grovyle,Grass,,405,50,65,45,85,65,95,3,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,36,None
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,FALSE,"Ground, Rock, Water, Dragon","Bug, Fire, Flying, Ice, Poison, Dragon, Fairy, Ice","nan, Not Effective Against Fairy",#N/A,#N/A
255,Torchic,Fire,,310,45,60,40,70,50,45,3,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,16,None
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,FALSE,"Bug, Grass, Ice, Steel, Dark, Ice, Normal, Rock, Steel","Ground, Rock, Water, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",36,None
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,FALSE,"Bug, Grass, Ice, Steel, Dark, Ice, Normal, Rock, Steel","Ground, Rock, Water, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A
257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,FALSE,"Bug, Grass, Ice, Steel, Dark, Ice, Normal, Rock, Steel","Ground, Rock, Water, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A
258,Mudkip,Water,,310,50,70,50,50,50,40,3,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,16,None
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",36,None
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,FALSE,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
261,Poochyena,Dark,,220,35,55,35,30,30,35,3,FALSE,"Ghost, Psychic","Bug, Fairy, Fight",Immunce to Psychic,18,None
262,Mightyena,Dark,,420,70,90,70,60,60,70,3,FALSE,"Ghost, Psychic","Bug, Fairy, Fight",Immunce to Psychic,#N/A,#N/A
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,20,None
264,Linoone,Normal,,420,78,70,61,50,61,100,3,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
265,Wurmple,Bug,,195,45,45,35,20,30,20,3,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,7,"Random, based on personality"
266,Silcoon,Bug,,205,50,35,55,25,25,15,3,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,10,None
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
268,Cascoon,Bug,,205,50,35,55,25,25,15,3,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,10,None
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,FALSE,"Fire, Ground, Rock, Ground, Rock, Water","Electric, Grass, Bug, Fire, Flying, Ice, Poison","nan, nan",14,None
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,FALSE,"Fire, Ground, Rock, Ground, Rock, Water","Electric, Grass, Bug, Fire, Flying, Ice, Poison","nan, nan",#N/A,#N/A
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,FALSE,"Fire, Ground, Rock, Ground, Rock, Water","Electric, Grass, Bug, Fire, Flying, Ice, Poison","nan, nan",#N/A,#N/A
273,Seedot,Grass,,220,40,40,50,30,30,30,3,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,14,None
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,FALSE,"Ground, Rock, Water, Ghost, Psychic","Bug, Fire, Flying, Ice, Poison, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,FALSE,"Ground, Rock, Water, Ghost, Psychic","Bug, Fire, Flying, Ice, Poison, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",22,None
